molecule_chembl_id,canonical_smiles,standard_value,bioactivity_classification
CHEMBL327471,Cc1cc(O)cc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,5.3,active
CHEMBL327471,Cc1cc(O)cc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,22.6,active
CHEMBL327320,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,0.9,active
CHEMBL327320,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,1.7,active
CHEMBL329892,Oc1ccc([C@H]2Sc3c(ccc(O)c3F)O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,1.0,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,3.0,active
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.8,active
CHEMBL30439,Oc1ccc([C@@H]2Cc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,6.7,active
CHEMBL71585,Oc1ccc2c(c1)S[C@@H](c1ccccc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,6.2,active
CHEMBL94116,Oc1ccc([C@@H]2Sc3c(Cl)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.51,active
CHEMBL94116,Oc1ccc([C@@H]2Sc3c(Cl)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,3.4,active
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.8,active
CHEMBL74027,CC1(C)Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1,6000.0,intermediate
CHEMBL101807,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,29.0,active
CHEMBL101807,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,2.6,active
CHEMBL328810,CC1(c2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,56.0,active
CHEMBL328810,CC1(c2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,1.5,active
CHEMBL93308,Oc1ccc([C@@H]2Sc3c(O)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,25.0,active
CHEMBL77851,Oc1ccc2c(c1)CCC1Oc3cc(O)ccc3N=C21,6000.0,intermediate
CHEMBL264862,CC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,6300.0,intermediate
CHEMBL101382,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,19.0,active
CHEMBL101382,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,16.5,active
CHEMBL100595,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,46.0,active
CHEMBL100595,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,16.1,active
CHEMBL68940,Oc1ccc([C@@H]2Sc3ccccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,10.0,active
CHEMBL1405,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,210.0,active
CHEMBL94030,Oc1ccc([C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.5,active
CHEMBL94030,Oc1ccc([C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,6.1,active
CHEMBL77794,Oc1ccc(C2=Nc3ccc(O)cc3OC2)cc1,16000.0,inactive
CHEMBL77466,CCC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)c(Br)c1,5300.0,intermediate
CHEMBL77620,Cc1cc(O)cc2c1N=C(c1ccc(O)c(Br)c1)C(C)O2,320.0,active
CHEMBL103650,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,285.0,active
CHEMBL98470,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,44.0,active
CHEMBL98470,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,2.6,active
CHEMBL1116,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,22.0,active
CHEMBL1116,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,2.4,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,17.0,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,188.0,active
CHEMBL101083,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,38.0,active
CHEMBL101083,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,1.9,active
CHEMBL323119,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)c1,94.0,active
CHEMBL323119,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)c1,19.0,active
CHEMBL286115,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,39.0,active
CHEMBL91758,Oc1ccc2c(c1)S[C@@H](c1ccccc1O)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,1.3,active
CHEMBL100617,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,34.0,active
CHEMBL100617,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,0.7,active
CHEMBL94170,CCc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,53.3,active
CHEMBL94170,CCc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,341.9,active
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.8,active
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.8,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,23.0,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,353.0,active
CHEMBL441457,Oc1ccc([C@@H]2Sc3cc(O)cc(Cl)c3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,5.3,active
CHEMBL441457,Oc1ccc([C@@H]2Sc3cc(O)cc(Cl)c3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,25.4,active
CHEMBL101997,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,31.0,active
CHEMBL101997,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,1.6,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,3.0,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,9.6,active
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,23.0,active
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,622.0,active
CHEMBL92720,COc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,41.1,active
CHEMBL92720,COc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,274.0,active
CHEMBL90794,CC1CCCC(C)N1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2cccc(O)c2)cc1,3.4,active
CHEMBL306636,CCCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,1700.0,intermediate
CHEMBL420623,Oc1ccc([C@@H]2Sc3cc(Cl)c(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,23.1,active
CHEMBL420623,Oc1ccc([C@@H]2Sc3cc(Cl)c(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,61.0,active
CHEMBL420068,CCc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,4.7,active
CHEMBL264862,CC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,2900.0,intermediate
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,38.0,active
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,1.8,active
CHEMBL319678,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,66.0,active
CHEMBL319678,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,2.9,active
CHEMBL92027,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCOCC3)cc2)c1,3.8,active
CHEMBL92027,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCOCC3)cc2)c1,4.7,active
CHEMBL329849,Cc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,1.2,active
CHEMBL329849,Cc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,9.3,active
CHEMBL74757,CC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,1700.0,intermediate
CHEMBL328388,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,31.0,active
CHEMBL328388,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,0.6,active
CHEMBL319211,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,39.0,active
CHEMBL319211,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,3.0,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.3,active
CHEMBL94225,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCNC3CCCCCC3)cc2)c1,1.2,active
CHEMBL94225,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCNC3CCCCCC3)cc2)c1,3.5,active
CHEMBL93546,Oc1ccc2c(c1)SC(c1ccc(F)cc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,3.8,active
CHEMBL93546,Oc1ccc2c(c1)SC(c1ccc(F)cc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,94.0,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.2,active
CHEMBL309245,O=c1c2ccc(O)cc2oc2c1oc1cc(O)ccc12,555.0,active
CHEMBL80314,COc1cc(O)c2c(=O)c3c(oc2c1)oc1cc(O)ccc13,2728.0,intermediate
CHEMBL78254,O=c1c2ccc(O)cc2oc2c1sc1ccccc12,5000.0,intermediate
CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,1.0,active
CHEMBL81074,N#Cc1cc(O)cc2c1oc1c(=O)c3c(O)cc(O)cc3oc12,1550.0,intermediate
CHEMBL78905,O=c1c2ccc(O)cc2oc2c1oc1c(Br)cc(O)cc12,5000.0,intermediate
CHEMBL78831,O=c1c2ccccc2oc2c1oc1cc(O)ccc12,5000.0,intermediate
CHEMBL310972,O=c1c2sc3ccccc3c2oc2cc(O)cc(O)c12,3672.0,intermediate
CHEMBL145576,CC1=C(c2ccc(O)cc2)C2(Cc3ccccc3C2)c2ccc(O)cc21,19.0,active
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,7.0,active
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1253.0,intermediate
CHEMBL294889,CC1=CC[C@@]2(CO)COC(c3ccc(O)cc3)[C@@H]1C2,3200.0,intermediate
CHEMBL439806,Oc1ccc2c(c1)CC1(C2)C(c2ccccc2)=Cc2ccccc21,58.0,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2.0,active
CHEMBL82483,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12,1500.0,intermediate
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.8,active
CHEMBL144897,Oc1ccc2c(c1)C=C(c1ccccc1)C21Cc2ccccc2C1,24.0,active
CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,4.3,active
CHEMBL312186,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,28.0,active
CHEMBL78567,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,1260.0,intermediate
CHEMBL311878,O=c1c2oc3ccc(O)cc3c2oc2cc(O)cc(O)c12,2951.0,intermediate
CHEMBL79021,O=c1c2ccc(O)cc2oc2c1oc1ccc(O)cc12,5000.0,intermediate
CHEMBL309294,N#Cc1cc(O)cc2c1oc1c(=O)c3ccc(O)cc3oc12,5000.0,intermediate
CHEMBL312456,O=c1c2ccc(O)cc2oc2c1oc1ccccc12,5000.0,intermediate
CHEMBL57150,OC[C@@]12CC=C[C@@H](C1)[C@H](c1ccc(O)cc1)CC2,550.0,active
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,395.0,active
CHEMBL144431,Oc1cccc(C2=Cc3ccc(O)cc3C23Cc2ccccc2C3)c1,31.0,active
CHEMBL345000,C1=C(c2ccccc2)C2(Cc3ccccc3C2)c2ccccc21,10000.0,inactive
CHEMBL311640,O=c1c2oc3cc(O)ccc3c2oc2cc(O)cc(O)c12,68.0,active
CHEMBL78413,O=c1c2cc(O)ccc2oc2c1oc1ccc(O)cc12,180.0,active
CHEMBL312597,O=c1c2oc3ccccc3c2oc2cc(O)cc(O)c12,5000.0,intermediate
CHEMBL24950,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,28.0,active
CHEMBL2112471,O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2cccc(O)c2)cc1,1700.0,intermediate
CHEMBL104367,CC/C(=C(/c1ccc(O)cc1)c1cccc(OCC(=O)O)c1)c1ccccc1,11.0,active
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,42.0,active
CHEMBL106773,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCC(=O)O)cc1)c1ccccc1,500.0,active
CHEMBL104416,CC/C(=C(/c1ccc(OCC(=O)O)cc1)c1cccc(O)c1)c1ccccc1,1440.0,intermediate
CHEMBL2112469,O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2ccc(O)cc2)cc1,235.0,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,5.9,active
CHEMBL2112470,CC[C@](C)(c1ccccc1)[C@@H](c1ccc(O)cc1)c1ccc(OCCCC(=O)O)cc1,6000.0,intermediate
CHEMBL33625,O/N=C1\c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,1040.0,intermediate
CHEMBL286115,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,31.0,active
CHEMBL280538,C[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,3563.0,intermediate
CHEMBL30574,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccccc1,531.0,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.3,active
CHEMBL30950,Cc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,14.0,active
CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,2160.0,intermediate
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.8,active
CHEMBL417126,C[C@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,1415.0,intermediate
CHEMBL31127,O=C1c2ccc(O)cc2O[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,490.0,active
CHEMBL33808,CCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,68.0,active
CHEMBL33890,CCCCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,71.0,active
CHEMBL33230,COc1cc([C@@H]2C(=O)c3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)ccc1O,413.0,active
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,92.0,active
CHEMBL284453,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,49.0,active
CHEMBL34679,O=C1c2c(Cl)cc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,58.0,active
CHEMBL33053,COc1cc(O)ccc1[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,149.0,active
CHEMBL282292,CC(C)[C@@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,89.0,active
CHEMBL285632,O=C1c2ccccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,179.0,active
CHEMBL30707,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,11.0,active
CHEMBL31128,CC(C)[C@H]1C(=O)c2ccc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,109.0,active
CHEMBL30769,C[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1,551.0,active
CHEMBL33568,O=C1c2c(F)cc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,105.0,active
CHEMBL30439,Oc1ccc([C@@H]2Cc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,6.7,active
CHEMBL291002,CCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,652.0,active
CHEMBL33263,Cc1cc([C@@H]2C(=O)c3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc(C)c1O,1050.0,intermediate
CHEMBL33888,Oc1ccc([C@H]2[C@@H](c3ccc(OCCN4CCCCC4)cc3)Oc3cc(O)ccc3[C@@H]2O)cc1,929.0,active
CHEMBL181404,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,0.8,active
CHEMBL369724,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,2.4,active
CHEMBL361005,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,0.8,active
CHEMBL360315,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OC[C@H](C)N3CCCC3)cc2)[C@H]1c1ccc(O)cc1,1.4,active
CHEMBL182237,Cc1cc(C)nc(N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)n1,2.12,active
CHEMBL179518,CCCN1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,1.43,active
CHEMBL359633,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCCC3)cc2)[C@H]1c1ccc(O)cc1,0.5,active
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.73,active
CHEMBL180538,C[C@H]1c2ccc(O)cc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,45.0,active
CHEMBL180253,C[C@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,38.0,active
CHEMBL362428,C[C@@H]1c2ccc(O)cc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,0.66,active
CHEMBL178559,CC[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,14.0,active
CHEMBL178470,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,1.4,active
CHEMBL2113001,O=C(c1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.97,active
CHEMBL360498,O=C(c1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.86,active
CHEMBL178857,O=C(c1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,2.65,active
CHEMBL180702,Cc1ccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)cc1,2.74,active
CHEMBL178665,O=C(c1ccc(N2CCN(C(=O)c3cccc(Cl)c3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.46,active
CHEMBL180707,O=C(c1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.78,active
CHEMBL180146,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,0.8,active
CHEMBL441499,O=C(c1ccc(N2CCN(C(=O)c3cccc(O)c3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.39,active
CHEMBL427496,O=C(c1ccc(N2CCN(C(=O)c3ccccc3O)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,3.05,active
CHEMBL182157,Cc1ccccc1C(=O)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,3.94,active
CHEMBL180873,Cc1cccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)c1,0.27,active
CHEMBL181936,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCC3)cc2)[C@H]1c1ccc(O)cc1,1.5,active
CHEMBL181369,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCC3)cc2)[C@H]1c1ccc(O)cc1,0.9,active
CHEMBL433581,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,1.3,active
CHEMBL180973,O=C(c1ccc(N2CCN(C(=O)c3ccccc3Cl)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.72,active
CHEMBL362425,O=C(c1ccc(N2CCN(C(=O)c3ccncc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,14.46,active
CHEMBL362020,O=C(c1ccc(N2CCN(C(=O)c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,2.15,active
CHEMBL178679,O=C(c1ccc(N2CCN(c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.22,active
CHEMBL360978,O=C(c1ccc(N2CCN(C(=O)c3ccccc3[N+](=O)[O-])CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,3.58,active
CHEMBL180176,O=C(c1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.43,active
CHEMBL178334,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,0.28,active
CHEMBL366928,O=C(c1ccc(N2CCN(C3CCCC3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.08,active
CHEMBL368449,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OC[C@H](C)N3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,1.3,active
CHEMBL180995,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,0.9,active
CHEMBL359671,C[C@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,2.5,active
CHEMBL2113002,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(O[C@H](C)CN3CCCC3)cc2)[C@H]1c1ccc(O)cc1,1.5,active
CHEMBL181368,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCCC3)cc2)[C@H]1c1ccc(O)cc1,0.3,active
CHEMBL181248,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCC[C@H]3C)cc2)[C@H]1c1ccc(O)cc1,0.7,active
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.3,active
